2011-02-26 13:01:24 Debug: Notice (8): Undefined property: DestinationsController::$Airline in [D:\webroot\mihinlanka\app\controllers\destinations_controller.php, line 13]
2011-02-26 13:02:32 Debug: Notice (8): Undefined property: DestinationsController::$Destinations in [D:\webroot\mihinlanka\app\controllers\destinations_controller.php, line 13]
2011-02-26 13:11:12 Debug: Notice (8): Use of undefined constant sdfsd - assumed 'sdfsd' in [D:\webroot\mihinlanka\app\views\destinations\index.ctp, line 7]
2011-02-26 13:11:41 Debug: Notice (8): Use of undefined constant sdfsd - assumed 'sdfsd' in [D:\webroot\mihinlanka\app\views\destinations\index.ctp, line 7]
2011-02-26 13:39:31 Debug: Notice (8): Use of undefined constant sdfsd - assumed 'sdfsd' in [D:\webroot\mihinlanka\app\views\destinations\index.ctp, line 7]
2011-03-01 08:47:35 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:47:35 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:49:23 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:49:23 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:49:47 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:49:47 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:50:13 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:50:13 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:50:13 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 47]
2011-03-01 08:50:22 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:50:22 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:50:22 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 47]
2011-03-01 08:51:39 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 40]
2011-03-01 08:51:39 Debug: Notice (8): Undefined property: View::$rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:51:39 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 47]
2011-03-01 08:55:14 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 39]
2011-03-01 08:55:14 Debug: Notice (8): Undefined property: View::$rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 45]
2011-03-01 08:55:14 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:55:32 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 39]
2011-03-01 08:55:32 Debug: Notice (8): Undefined property: View::$rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 45]
2011-03-01 08:55:32 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:55:56 Debug: Notice (8): Undefined variable: rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 39]
2011-03-01 08:55:56 Debug: Notice (8): Undefined property: View::$rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 45]
2011-03-01 08:55:56 Debug: Notice (8): Undefined variable: leftSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 46]
2011-03-01 08:56:28 Debug: Notice (8): Undefined property: View::$rightSide in [D:\webroot\mihinlanka\app\views\layouts\default.ctp, line 45]
2011-03-02 18:31:13 Debug: Notice (8): Undefined variable: javascript in [D:\webroot\mihinlanka\app\controllers\pages_controller.php, line 111]
2011-03-02 18:32:22 Debug: Notice (8): Undefined variable: view in [D:\webroot\mihinlanka\app\controllers\pages_controller.php, line 111]
